,Organisation,Location,Datetime,Details,Status,Price,Mission_status
0,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Tue Aug 17, 2021 01:47 UTC","Vega | Pléiades-Néo 4, BRO-4 & Others",Active,37.0,Success
1,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Aug 12, 2021 00:13 UTC",GSLV Mk II | EOS-03,Active,47.0,Failure
2,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Tue Aug 10, 2021 22:01 UTC",Antares 230+ | Cygnus CRS NG-16,Active,85.0,Success
3,CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Aug 05, 2021 16:30 UTC",Long March 3B/E | Zhongxing-2E,Active,29.15,Success
4,CASC,"LC-16, Taiyuan Satellite Launch Center, China","Wed Aug 04, 2021 11:01 UTC",Long March 6 | KL-Beta A & B,Active,19.0,Success
5,i-Space,"Site 95, Jiuquan Satellite Launch Center, China","Tue Aug 03, 2021 07:39 UTC",Hyperbola-1 | Jilin-1 Mofang-01A (?),Active,,Failure
6,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Jul 30, 2021 21:00 UTC",Ariane 5 ECA | Eutelsat Quantum & Star One D2,Active,200.0,Success
7,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Thu Jul 29, 2021 06:00 UTC",Electron/Curie | It’s a Little Chile Up Here,Active,7.5,Success
8,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Jul 29, 2021 04:01 UTC",Long March 2D | Tianhui-1 04,Active,29.75,Success
9,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Wed Jul 21, 2021 14:58 UTC",Proton-M | MLM-U Nauka,Active,65.0,Success
10,Blue Origin,"Launch Site One, West Texas, Texas, USA","Tue Jul 20, 2021 13:12 UTC",New Shepard | NS-16,Active,,Success
11,CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Jul 19, 2021 00:19 UTC",Long March 2C/E | Yaogan-30 10,Active,30.8,Success
12,Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Sun Jul 11, 2021 15:25 UTC",SpaceShipTwo | Unity 22,Active,,Success
13,CASC,"LC-16, Taiyuan Satellite Launch Center, China","Fri Jul 09, 2021 11:59 UTC",Long March 6 | Zhongzi Group 02 (Ningxia-1-02),Active,19.0,Success
14,CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jul 06, 2021 15:53 UTC",Long March 3C/E | Tianlian 1-05,Active,20.0,Success
15,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun Jul 04, 2021 23:28 UTC",Long March 4C | Fengyun-3E,Active,64.68,Success
16,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sat Jul 03, 2021 02:51 UTC",Long March 2D | Jilin-1 Wideband-01B & High Resolution 03D,Active,29.75,Success
17,Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Thu Jul 01, 2021 12:48 UTC",Soyuz 2.1b/Fregat | OneWeb #8,Active,25.0,Success
18,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Jun 30, 2021 19:31 UTC",Falcon 9 Block 5 | Transporter 2,Active,50.0,Success
19,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA","Wed Jun 30, 2021 14:47 UTC","LauncherOne | Tubular Bells, Part One",Active,12.0,Success
20,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Jun 29, 2021 23:27 UTC",Soyuz 2.1a | Progress MS-17,Active,17.42,Success
